sentence0	sentence1	sentence2	sentence3	sentence4	sentence5	sentence6	sentence7	sentence8	sentence9	sentence10	sentence11	sentence12	sentence13	sentence14	sentence15	sentence16	sentence17	sentence18	sentence19	sentence20	sentence21	sentence22	sentence23	sentence24	sentence25	sentence26	sentence27	sentence28	sentence29	answer0	answer1	answer2	answer3	answer4	answer5	answer6	answer7	answer8	answer9	answer10	answer11	answer12	answer13	answer14	answer15	answer16	answer17	answer18	answer19	answer20	answer21	answer22	answer23	answer24	answer25	answer26	answer27	answer28	answer29	cost	difficulty
A third ||| of the money ||| is ||| mine ||| .	There ||| are some portability issues with Boost ||| , ||| but ||| STL ||| is very portable ||| .	In ||| which city ||| is ||| John 's laptop ||| on the evening of Dec. 10th ||| ?	Have ||| prisoners ||| imprisoned during October 15-16 riots ||| been ||| released ||| ?	Was ||| the ||| painting ||| harmed ||| during the war ||| ?	Walt ||| Disney ||| cuts ||| down ||| on fat , calories ||| .	I ||| ate ||| a stick of chewing gum ||| .	UnitedHealth ||| , ||| Mattel ||| rise ||| .	Stanford ||| is ||| located in California ||| .	The ||| baby ||| learned ||| to crawl , walk , and then talk ||| .	Pick ||| up ||| the torque wrench ||| .	Is ||| this ||| computer ||| his ||| ?	Laptop battery recall saga ||| : ||| Sony ||| joins in ||| .	Most ||| dogs ||| eat ||| kibble ||| .	Turn ||| left ||| at the light ||| .	Carnage ||| in ||| Sri Lanka ||| .	Are ||| you ||| going ||| ?	How ||| are ||| you ||| ?	Get ||| me ||| the book on the coffee table ||| .	The ||| dog ||| bit ||| the cat ||| .	A third ||| of the crows ||| are ||| dead ||| .	One in two injecting drug users ||| in Jakarta ||| now ||| test ||| positive for HIV ||| .	But ||| Cech ||| stays ||| in ||| for observation ||| .	All ||| four ||| have ||| denied they are linked to al-Qaeda ||| .	In ||| the 60s ||| , ||| Yoko ||| Ono ||| married John Lennon ||| and ||| campaigned for peace in Vietnam ||| .	Healthy ||| move ||| for ||| Disney ||| ?	Japan ||| welcomes UN resolution on N Korea ||| , ||| eyes further sanction ||| .	Food ||| shortages ||| looming ||| as N Korea faces sanctions ||| .	NK ||| test ||| yet ||| to be confirmed ||| .	The ||| European ||| parliament ||| is ||| the only directly elected EU body ||| .																															0.01	1
A third ||| of the money ||| is ||| mine ||| .	There ||| are some portability issues with Boost ||| , ||| but ||| STL ||| is very portable ||| .	In ||| which city ||| is ||| John 's laptop ||| on the evening of Dec. 10th ||| ?	Have ||| prisoners ||| imprisoned during October 15-16 riots ||| been ||| released ||| ?	Was ||| the ||| painting ||| harmed ||| during the war ||| ?	Walt ||| Disney ||| cuts ||| down ||| on fat , calories ||| .	I ||| ate ||| a stick of chewing gum ||| .	UnitedHealth ||| , ||| Mattel ||| rise ||| .	Stanford ||| is ||| located in California ||| .	The ||| baby ||| learned ||| to crawl , walk , and then talk ||| .	Pick ||| up ||| the torque wrench ||| .	Is ||| this ||| computer ||| his ||| ?	Laptop battery recall saga ||| : ||| Sony ||| joins in ||| .	Most ||| dogs ||| eat ||| kibble ||| .	Turn ||| left ||| at the light ||| .	Carnage ||| in ||| Sri Lanka ||| .	Are ||| you ||| going ||| ?	How ||| are ||| you ||| ?	Get ||| me ||| the book on the coffee table ||| .	The ||| dog ||| bit ||| the cat ||| .	A third ||| of the crows ||| are ||| dead ||| .	One in two injecting drug users ||| in Jakarta ||| now ||| test ||| positive for HIV ||| .	But ||| Cech ||| stays ||| in ||| for observation ||| .	All ||| four ||| have ||| denied they are linked to al-Qaeda ||| .	In ||| the 60s ||| , ||| Yoko ||| Ono ||| married John Lennon ||| and ||| campaigned for peace in Vietnam ||| .	Healthy ||| move ||| for ||| Disney ||| ?	Japan ||| welcomes UN resolution on N Korea ||| , ||| eyes further sanction ||| .	Food ||| shortages ||| looming ||| as N Korea faces sanctions ||| .	NK ||| test ||| yet ||| to be confirmed ||| .	The ||| European ||| parliament ||| is ||| the only directly elected EU body ||| .																															0.01	1
A third ||| of the money ||| is ||| mine ||| .	There ||| are some portability issues with Boost ||| , ||| but ||| STL ||| is very portable ||| .	In ||| which city ||| is ||| John 's laptop ||| on the evening of Dec. 10th ||| ?	Have ||| prisoners ||| imprisoned during October 15-16 riots ||| been ||| released ||| ?	Was ||| the ||| painting ||| harmed ||| during the war ||| ?	Walt ||| Disney ||| cuts ||| down ||| on fat , calories ||| .	I ||| ate ||| a stick of chewing gum ||| .	UnitedHealth ||| , ||| Mattel ||| rise ||| .	Stanford ||| is ||| located in California ||| .	The ||| baby ||| learned ||| to crawl , walk , and then talk ||| .	Pick ||| up ||| the torque wrench ||| .	Is ||| this ||| computer ||| his ||| ?	Laptop battery recall saga ||| : ||| Sony ||| joins in ||| .	Most ||| dogs ||| eat ||| kibble ||| .	Turn ||| left ||| at the light ||| .	Carnage ||| in ||| Sri Lanka ||| .	Are ||| you ||| going ||| ?	How ||| are ||| you ||| ?	Get ||| me ||| the book on the coffee table ||| .	The ||| dog ||| bit ||| the cat ||| .	A third ||| of the crows ||| are ||| dead ||| .	One in two injecting drug users ||| in Jakarta ||| now ||| test ||| positive for HIV ||| .	But ||| Cech ||| stays ||| in ||| for observation ||| .	All ||| four ||| have ||| denied they are linked to al-Qaeda ||| .	In ||| the 60s ||| , ||| Yoko ||| Ono ||| married John Lennon ||| and ||| campaigned for peace in Vietnam ||| .	Healthy ||| move ||| for ||| Disney ||| ?	Japan ||| welcomes UN resolution on N Korea ||| , ||| eyes further sanction ||| .	Food ||| shortages ||| looming ||| as N Korea faces sanctions ||| .	NK ||| test ||| yet ||| to be confirmed ||| .	The ||| European ||| parliament ||| is ||| the only directly elected EU body ||| .																															0.01	1
A third ||| of the money ||| is ||| mine ||| .	There ||| are some portability issues with Boost ||| , ||| but ||| STL ||| is very portable ||| .	In ||| which city ||| is ||| John 's laptop ||| on the evening of Dec. 10th ||| ?	Have ||| prisoners ||| imprisoned during October 15-16 riots ||| been ||| released ||| ?	Was ||| the ||| painting ||| harmed ||| during the war ||| ?	Walt ||| Disney ||| cuts ||| down ||| on fat , calories ||| .	I ||| ate ||| a stick of chewing gum ||| .	UnitedHealth ||| , ||| Mattel ||| rise ||| .	Stanford ||| is ||| located in California ||| .	The ||| baby ||| learned ||| to crawl , walk , and then talk ||| .	Pick ||| up ||| the torque wrench ||| .	Is ||| this ||| computer ||| his ||| ?	Laptop battery recall saga ||| : ||| Sony ||| joins in ||| .	Most ||| dogs ||| eat ||| kibble ||| .	Turn ||| left ||| at the light ||| .	Carnage ||| in ||| Sri Lanka ||| .	Are ||| you ||| going ||| ?	How ||| are ||| you ||| ?	Get ||| me ||| the book on the coffee table ||| .	The ||| dog ||| bit ||| the cat ||| .	A third ||| of the crows ||| are ||| dead ||| .	One in two injecting drug users ||| in Jakarta ||| now ||| test ||| positive for HIV ||| .	But ||| Cech ||| stays ||| in ||| for observation ||| .	All ||| four ||| have ||| denied they are linked to al-Qaeda ||| .	In ||| the 60s ||| , ||| Yoko ||| Ono ||| married John Lennon ||| and ||| campaigned for peace in Vietnam ||| .	Healthy ||| move ||| for ||| Disney ||| ?	Japan ||| welcomes UN resolution on N Korea ||| , ||| eyes further sanction ||| .	Food ||| shortages ||| looming ||| as N Korea faces sanctions ||| .	NK ||| test ||| yet ||| to be confirmed ||| .	The ||| European ||| parliament ||| is ||| the only directly elected EU body ||| .																															0.01	1
A third ||| of the money ||| is ||| mine ||| .	There ||| are some portability issues with Boost ||| , ||| but ||| STL ||| is very portable ||| .	In ||| which city ||| is ||| John 's laptop ||| on the evening of Dec. 10th ||| ?	Have ||| prisoners ||| imprisoned during October 15-16 riots ||| been ||| released ||| ?	Was ||| the ||| painting ||| harmed ||| during the war ||| ?	Walt ||| Disney ||| cuts ||| down ||| on fat , calories ||| .	I ||| ate ||| a stick of chewing gum ||| .	UnitedHealth ||| , ||| Mattel ||| rise ||| .	Stanford ||| is ||| located in California ||| .	The ||| baby ||| learned ||| to crawl , walk , and then talk ||| .	Pick ||| up ||| the torque wrench ||| .	Is ||| this ||| computer ||| his ||| ?	Laptop battery recall saga ||| : ||| Sony ||| joins in ||| .	Most ||| dogs ||| eat ||| kibble ||| .	Turn ||| left ||| at the light ||| .	Carnage ||| in ||| Sri Lanka ||| .	Are ||| you ||| going ||| ?	How ||| are ||| you ||| ?	Get ||| me ||| the book on the coffee table ||| .	The ||| dog ||| bit ||| the cat ||| .	A third ||| of the crows ||| are ||| dead ||| .	One in two injecting drug users ||| in Jakarta ||| now ||| test ||| positive for HIV ||| .	But ||| Cech ||| stays ||| in ||| for observation ||| .	All ||| four ||| have ||| denied they are linked to al-Qaeda ||| .	In ||| the 60s ||| , ||| Yoko ||| Ono ||| married John Lennon ||| and ||| campaigned for peace in Vietnam ||| .	Healthy ||| move ||| for ||| Disney ||| ?	Japan ||| welcomes UN resolution on N Korea ||| , ||| eyes further sanction ||| .	Food ||| shortages ||| looming ||| as N Korea faces sanctions ||| .	NK ||| test ||| yet ||| to be confirmed ||| .	The ||| European ||| parliament ||| is ||| the only directly elected EU body ||| .																															0.01	1
A third ||| of the money ||| is ||| mine ||| .	There ||| are some portability issues with Boost ||| , ||| but ||| STL ||| is very portable ||| .	In ||| which city ||| is ||| John 's laptop ||| on the evening of Dec. 10th ||| ?	Have ||| prisoners ||| imprisoned during October 15-16 riots ||| been ||| released ||| ?	Was ||| the ||| painting ||| harmed ||| during the war ||| ?	Walt ||| Disney ||| cuts ||| down ||| on fat , calories ||| .	I ||| ate ||| a stick of chewing gum ||| .	UnitedHealth ||| , ||| Mattel ||| rise ||| .	Stanford ||| is ||| located in California ||| .	The ||| baby ||| learned ||| to crawl , walk , and then talk ||| .	Pick ||| up ||| the torque wrench ||| .	Is ||| this ||| computer ||| his ||| ?	Laptop battery recall saga ||| : ||| Sony ||| joins in ||| .	Most ||| dogs ||| eat ||| kibble ||| .	Turn ||| left ||| at the light ||| .	Carnage ||| in ||| Sri Lanka ||| .	Are ||| you ||| going ||| ?	How ||| are ||| you ||| ?	Get ||| me ||| the book on the coffee table ||| .	The ||| dog ||| bit ||| the cat ||| .	A third ||| of the crows ||| are ||| dead ||| .	One in two injecting drug users ||| in Jakarta ||| now ||| test ||| positive for HIV ||| .	But ||| Cech ||| stays ||| in ||| for observation ||| .	All ||| four ||| have ||| denied they are linked to al-Qaeda ||| .	In ||| the 60s ||| , ||| Yoko ||| Ono ||| married John Lennon ||| and ||| campaigned for peace in Vietnam ||| .	Healthy ||| move ||| for ||| Disney ||| ?	Japan ||| welcomes UN resolution on N Korea ||| , ||| eyes further sanction ||| .	Food ||| shortages ||| looming ||| as N Korea faces sanctions ||| .	NK ||| test ||| yet ||| to be confirmed ||| .	The ||| European ||| parliament ||| is ||| the only directly elected EU body ||| .																															0.01	1
A third ||| of the money ||| is ||| mine ||| .	There ||| are some portability issues with Boost ||| , ||| but ||| STL ||| is very portable ||| .	In ||| which city ||| is ||| John 's laptop ||| on the evening of Dec. 10th ||| ?	Have ||| prisoners ||| imprisoned during October 15-16 riots ||| been ||| released ||| ?	Was ||| the ||| painting ||| harmed ||| during the war ||| ?	Walt ||| Disney ||| cuts ||| down ||| on fat , calories ||| .	I ||| ate ||| a stick of chewing gum ||| .	UnitedHealth ||| , ||| Mattel ||| rise ||| .	Stanford ||| is ||| located in California ||| .	The ||| baby ||| learned ||| to crawl , walk , and then talk ||| .	Pick ||| up ||| the torque wrench ||| .	Is ||| this ||| computer ||| his ||| ?	Laptop battery recall saga ||| : ||| Sony ||| joins in ||| .	Most ||| dogs ||| eat ||| kibble ||| .	Turn ||| left ||| at the light ||| .	Carnage ||| in ||| Sri Lanka ||| .	Are ||| you ||| going ||| ?	How ||| are ||| you ||| ?	Get ||| me ||| the book on the coffee table ||| .	The ||| dog ||| bit ||| the cat ||| .	A third ||| of the crows ||| are ||| dead ||| .	One in two injecting drug users ||| in Jakarta ||| now ||| test ||| positive for HIV ||| .	But ||| Cech ||| stays ||| in ||| for observation ||| .	All ||| four ||| have ||| denied they are linked to al-Qaeda ||| .	In ||| the 60s ||| , ||| Yoko ||| Ono ||| married John Lennon ||| and ||| campaigned for peace in Vietnam ||| .	Healthy ||| move ||| for ||| Disney ||| ?	Japan ||| welcomes UN resolution on N Korea ||| , ||| eyes further sanction ||| .	Food ||| shortages ||| looming ||| as N Korea faces sanctions ||| .	NK ||| test ||| yet ||| to be confirmed ||| .	The ||| European ||| parliament ||| is ||| the only directly elected EU body ||| .																															0.01	1
A third ||| of the money ||| is ||| mine ||| .	There ||| are some portability issues with Boost ||| , ||| but ||| STL ||| is very portable ||| .	In ||| which city ||| is ||| John 's laptop ||| on the evening of Dec. 10th ||| ?	Have ||| prisoners ||| imprisoned during October 15-16 riots ||| been ||| released ||| ?	Was ||| the ||| painting ||| harmed ||| during the war ||| ?	Walt ||| Disney ||| cuts ||| down ||| on fat , calories ||| .	I ||| ate ||| a stick of chewing gum ||| .	UnitedHealth ||| , ||| Mattel ||| rise ||| .	Stanford ||| is ||| located in California ||| .	The ||| baby ||| learned ||| to crawl , walk , and then talk ||| .	Pick ||| up ||| the torque wrench ||| .	Is ||| this ||| computer ||| his ||| ?	Laptop battery recall saga ||| : ||| Sony ||| joins in ||| .	Most ||| dogs ||| eat ||| kibble ||| .	Turn ||| left ||| at the light ||| .	Carnage ||| in ||| Sri Lanka ||| .	Are ||| you ||| going ||| ?	How ||| are ||| you ||| ?	Get ||| me ||| the book on the coffee table ||| .	The ||| dog ||| bit ||| the cat ||| .	A third ||| of the crows ||| are ||| dead ||| .	One in two injecting drug users ||| in Jakarta ||| now ||| test ||| positive for HIV ||| .	But ||| Cech ||| stays ||| in ||| for observation ||| .	All ||| four ||| have ||| denied they are linked to al-Qaeda ||| .	In ||| the 60s ||| , ||| Yoko ||| Ono ||| married John Lennon ||| and ||| campaigned for peace in Vietnam ||| .	Healthy ||| move ||| for ||| Disney ||| ?	Japan ||| welcomes UN resolution on N Korea ||| , ||| eyes further sanction ||| .	Food ||| shortages ||| looming ||| as N Korea faces sanctions ||| .	NK ||| test ||| yet ||| to be confirmed ||| .	The ||| European ||| parliament ||| is ||| the only directly elected EU body ||| .																															0.01	1
A third ||| of the money ||| is ||| mine ||| .	There ||| are some portability issues with Boost ||| , ||| but ||| STL ||| is very portable ||| .	In ||| which city ||| is ||| John 's laptop ||| on the evening of Dec. 10th ||| ?	Have ||| prisoners ||| imprisoned during October 15-16 riots ||| been ||| released ||| ?	Was ||| the ||| painting ||| harmed ||| during the war ||| ?	Walt ||| Disney ||| cuts ||| down ||| on fat , calories ||| .	I ||| ate ||| a stick of chewing gum ||| .	UnitedHealth ||| , ||| Mattel ||| rise ||| .	Stanford ||| is ||| located in California ||| .	The ||| baby ||| learned ||| to crawl , walk , and then talk ||| .	Pick ||| up ||| the torque wrench ||| .	Is ||| this ||| computer ||| his ||| ?	Laptop battery recall saga ||| : ||| Sony ||| joins in ||| .	Most ||| dogs ||| eat ||| kibble ||| .	Turn ||| left ||| at the light ||| .	Carnage ||| in ||| Sri Lanka ||| .	Are ||| you ||| going ||| ?	How ||| are ||| you ||| ?	Get ||| me ||| the book on the coffee table ||| .	The ||| dog ||| bit ||| the cat ||| .	A third ||| of the crows ||| are ||| dead ||| .	One in two injecting drug users ||| in Jakarta ||| now ||| test ||| positive for HIV ||| .	But ||| Cech ||| stays ||| in ||| for observation ||| .	All ||| four ||| have ||| denied they are linked to al-Qaeda ||| .	In ||| the 60s ||| , ||| Yoko ||| Ono ||| married John Lennon ||| and ||| campaigned for peace in Vietnam ||| .	Healthy ||| move ||| for ||| Disney ||| ?	Japan ||| welcomes UN resolution on N Korea ||| , ||| eyes further sanction ||| .	Food ||| shortages ||| looming ||| as N Korea faces sanctions ||| .	NK ||| test ||| yet ||| to be confirmed ||| .	The ||| European ||| parliament ||| is ||| the only directly elected EU body ||| .																															0.01	1
A third ||| of the money ||| is ||| mine ||| .	There ||| are some portability issues with Boost ||| , ||| but ||| STL ||| is very portable ||| .	In ||| which city ||| is ||| John 's laptop ||| on the evening of Dec. 10th ||| ?	Have ||| prisoners ||| imprisoned during October 15-16 riots ||| been ||| released ||| ?	Was ||| the ||| painting ||| harmed ||| during the war ||| ?	Walt ||| Disney ||| cuts ||| down ||| on fat , calories ||| .	I ||| ate ||| a stick of chewing gum ||| .	UnitedHealth ||| , ||| Mattel ||| rise ||| .	Stanford ||| is ||| located in California ||| .	The ||| baby ||| learned ||| to crawl , walk , and then talk ||| .	Pick ||| up ||| the torque wrench ||| .	Is ||| this ||| computer ||| his ||| ?	Laptop battery recall saga ||| : ||| Sony ||| joins in ||| .	Most ||| dogs ||| eat ||| kibble ||| .	Turn ||| left ||| at the light ||| .	Carnage ||| in ||| Sri Lanka ||| .	Are ||| you ||| going ||| ?	How ||| are ||| you ||| ?	Get ||| me ||| the book on the coffee table ||| .	The ||| dog ||| bit ||| the cat ||| .	A third ||| of the crows ||| are ||| dead ||| .	One in two injecting drug users ||| in Jakarta ||| now ||| test ||| positive for HIV ||| .	But ||| Cech ||| stays ||| in ||| for observation ||| .	All ||| four ||| have ||| denied they are linked to al-Qaeda ||| .	In ||| the 60s ||| , ||| Yoko ||| Ono ||| married John Lennon ||| and ||| campaigned for peace in Vietnam ||| .	Healthy ||| move ||| for ||| Disney ||| ?	Japan ||| welcomes UN resolution on N Korea ||| , ||| eyes further sanction ||| .	Food ||| shortages ||| looming ||| as N Korea faces sanctions ||| .	NK ||| test ||| yet ||| to be confirmed ||| .	The ||| European ||| parliament ||| is ||| the only directly elected EU body ||| .																															0.03	1
